date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-05-21,0.073842,0.184604,-0.258446,0.950429,0.950429,0.251061,0.051689,0.313827,0.711649,0.739155,0.593216,1,53.47377149513336
2019-05-22,0.055351,0.645756,-0.295203,0.055381,0.055381,0.062731,0.035055,0.174662,0.565498,0.654613,0.575031,0,53.50338591538173
2019-05-23,1.205727,1.205727,-1.073851,-2.066421,-2.066421,1.586285,1.925396,2.097463,2.505652,2.672946,2.641296,-1,52.397780892776055
2019-05-24,1.15596,1.326511,-0.341103,-0.584024,-0.584024,1.527383,2.167898,2.442044,2.857684,3.143453,3.179837,-1,52.091765216876276
2019-05-28,2.570048,2.956522,0.0,-1.932916,-1.932916,2.790338,3.857005,4.061836,4.563285,4.954589,5.036393,-1,51.084874928431816
2019-05-29,-0.502999,0.232153,-1.238151,-0.115942,-0.115942,1.950087,3.505514,3.884697,4.332559,4.824918,4.968724,0,51.02564608793508
2019-05-30,0.406032,0.599381,-0.502707,0.058038,0.058038,0.931941,2.896365,3.531838,3.966551,4.49652,4.722867,0,51.05526050818345
2019-05-31,1.264822,1.501976,-0.177866,-2.165507,-2.165507,2.185771,4.375494,5.342556,5.87253,6.46087,6.785244,-1,49.94965548557778
2019-06-03,0.636943,1.671975,-0.696656,-0.711462,-0.711462,1.910828,4.275478,5.512208,6.178344,6.812102,7.266454,-1,49.59428244259738
2019-06-04,-2.364475,0.422914,-2.672049,3.542994,3.542994,-1.472511,0.392157,1.721133,2.273164,2.921953,3.42945,1,51.35140471066712
2019-06-05,1.305182,2.1881,-0.479846,0.153787,0.153787,-1.466411,-0.159309,1.305182,1.933781,2.515931,3.088932,0,51.43037649799609
2019-06-06,-0.950751,0.285225,-1.388097,0.940499,0.940499,-2.053622,-1.395703,0.111555,0.850922,1.386575,1.964252,1,51.914078695386074
2019-06-07,-0.863688,0.300413,-0.901239,1.274006,1.274006,-2.286894,-2.602328,-1.320566,-0.510702,0.010514,0.572037,1,52.57546741426625
2019-06-10,-0.610998,0.740604,-0.814664,1.408186,1.408186,-2.247732,-3.725236,-2.751342,-1.95149,-1.43603,-0.910942,1,53.31582792047541
2019-06-11,1.038191,1.242121,-0.185391,-0.129606,-0.129606,-1.408973,-3.19429,-2.590533,-1.776974,-1.375603,-0.852799,0,53.24672760656255
2019-06-12,0.111899,0.80194,-0.354345,-0.593252,-0.593252,-0.253637,-2.256621,-2.077583,-1.238344,-0.815367,-0.3674,-1,52.930840457246646
2019-06-13,0.26003,0.26003,-0.742942,0.410295,0.410295,-0.19688,-2.262259,-2.522288,-1.708767,-1.231798,-0.838905,0,53.14801287240134
2019-06-14,0.619369,1.032282,0.0,-1.040119,-1.040119,0.85961,-0.731982,-1.472723,-0.803303,-0.266517,0.120746,-1,52.595210361098495
2019-06-17,0.395257,0.790514,-0.338792,-0.281532,-0.281532,0.8131,0.092227,-1.149382,-0.652174,-0.099379,0.299266,0,52.447138259856665
2019-06-18,-0.075614,1.323251,-0.926276,-0.4329,-0.4329,0.858223,0.693762,-0.574669,-0.29206,0.294896,0.612476,0,52.22009437128585
2019-06-19,0.132878,0.854214,-0.816249,-0.415879,-0.415879,0.922551,1.224374,-0.034169,-0.017084,0.603645,0.949127,0,52.00292195613117
2019-06-20,-1.772241,0.842253,-2.561853,8.181473,8.181473,-5.604492,-5.658888,-6.977832,-7.333743,-6.834181,-6.509914,1,56.25752699847979
2019-06-21,1.817534,1.835353,-0.106914,-1.526584,-1.526584,-3.129009,-3.686743,-4.880019,-5.626336,-5.284391,-4.949513,-1,55.39870881127717
2019-06-24,-0.863588,0.986958,-1.480437,1.104775,1.104775,-2.915051,-4.258019,-5.155681,-6.307719,-6.161438,-5.865351,1,56.01074016307674
2019-06-25,1.426788,1.979668,-0.017835,-1.180825,-1.180825,-0.62422,-2.734082,-3.540812,-4.802925,-4.8682,-4.583556,-1,55.34935144419656
2019-06-26,-0.40593,0.335334,-0.741264,1.052256,1.052256,-0.254148,-3.210378,-4.008707,-5.35563,-5.683022,-5.428286,1,55.93176837574776
2019-06-27,0.405144,1.092126,-0.017615,0.19414,0.19414,-0.524925,-2.881804,-3.703834,-5.09424,-5.684693,-5.481769,0,56.04035458332511
2019-06-28,-0.122872,0.193084,-1.070739,0.352299,0.352299,-0.575742,-2.575039,-3.607747,-4.868352,-5.742672,-5.677257,0,56.237784051647544
2019-07-01,-1.482503,0.137907,-1.689364,1.825522,1.825522,-1.920359,-3.480434,-4.876171,-5.904154,-7.071195,-7.16658,1,57.26441728692424
2019-07-02,-0.992131,0.171057,-1.180294,0.775728,0.775728,-1.85768,-3.272323,-5.092941,-6.07766,-7.327403,-7.607481,1,57.70863359064974
2019-07-03,-0.696568,0.152905,-0.815494,0.684229,0.684229,-1.777098,-2.879715,-5.14441,-6.141692,-7.469929,-7.969759,1,58.10349252729462
